Kategori,Kabupaten/Kota,Tahun,IKP_offstat,"IPM (Indeks 
Pembangunan Manusia)","Kepadatan Penduduk 
per km persegi (Km2)",Tingkat Pengangguran Terbuka (TPT) (Persen),Persentase Penduduk Miskin  (Persen),"Luas Panen 
Tanaman Padi 
(ha) (Ha)","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_offstat","Rekap Produksi 
Padi 
(ton) (Ton)_offstat",Jumlah bayi Gizi Kurang (Rb),Jumlah bayi (Rb),Prevalensi Bayi Gizi Kurang,IPM,Kemiskinan,TPT,Kepadatan_Penduduk,Prevalensi_Gizi_Kurang,PC1,PC2,PC3,PC4,PC5,IKP_cluster,"Rekap Produksi 
Padi 
(ton) (Ton)_cluster","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_cluster",Cluster,_merge
kabupaten,Bangkalan,2021,74.04,65.42,1070.0,8.07,21.57,42110.04,46.38,195323.29,2251.0,70930.0,3.173551389,65.42,21.57,8.07,1070,3.173551389,-1.844631485803221,-1.882462685723802,2.277394196172402,1.756071182316859,-0.0794767600965516,74.04,195323.29,46.38,2,both
kabupaten,Bangkalan,2022,70.59,66.11,835.0,8.05,19.44,40717.81,48.66,198122.71,341.0,74560.0,0.4573497854,66.11,19.44,8.05,835,0.4573497854,-1.564565658370961,-1.948946504413873,2.153887233000033,1.308191706113314,-0.1601164073025661,70.59,198122.71,48.66,2,both
kabupaten,Bangkalan,2023,73.23,66.82,839.0,6.18,19.35,38011.82,49.0,186257.96,861.0,79000.0,1.089873418,66.82,19.35,6.18,839,1.089873418,-1.910492982272972,-1.465031591145052,1.199489625925329,1.18219631520303,-0.0649342269440023,73.23,186257.96,49.0,2,both
kabupaten,Bangkalan,2024,62.86808,67.33,847.0,5.35,18.66,39554.55,47.82,189161.9,9598.0,84840.0,11.31305988,67.33,18.66,5.35,847,11.31305988,-1.967896406961684,-0.6294179591597888,1.01257659166055,1.12373676391912,-0.0760726761858288,62.86808,189161.9,47.82,2,both
kabupaten,Bangkalan,2025,61.95261,68.15,855.0,5.31,18.25,46903.0,47.71,223789.0,1353.0,93260.0,1.450782758,68.15,18.25,5.31,855,1.450782758,-1.82363015358,-1.172649130988261,0.6893088414515698,0.9470822302851992,0.0236856505455853,61.95261,223789.0,47.71,2,both
kabupaten,Banyuwangi,2021,82.8,72.62,297.0,5.42,8.07,89125.2,57.61,513490.07,3572.0,119130.0,2.998405104,72.62,8.07,5.42,297,2.998405104,-0.1786888210020608,-0.6361505258561903,0.4521798768765208,-0.8743397591819841,-0.2810358225490589,82.8,513490.07,57.61,2,both
kabupaten,Banyuwangi,2022,83.82,73.15,482.0,5.26,7.51,76748.03,60.22,462205.98,466.0,121230.0,0.384393302,73.15,7.51,5.26,482,0.384393302,-0.0429840958784897,-0.7211117908918143,0.2429800208576025,-0.9477226271683036,-0.2854280128183236,83.82,462205.98,60.22,2,both
kabupaten,Banyuwangi,2023,84.91,73.79,485.0,4.75,7.34,75062.48,60.59,454768.46,3111.0,123190.0,2.525367319,73.79,7.34,4.75,485,2.525367319,-0.0681193623959696,-0.4549225286882201,0.0113617252029887,-0.9913720900215528,-0.2047497468898277,84.91,454768.46,60.59,2,both
kabupaten,Banyuwangi,2024,73.22435,74.3,488.0,4.03,6.54,67240.56,58.84,395631.38,22347.0,124260.0,17.98406567,74.3,6.54,4.03,488,17.98406567,-0.0908023790533378,0.6717895355647985,0.0147821858223788,-1.009352376461533,-0.2329737044435854,73.22435,395631.38,58.84,2,both
kabupaten,Banyuwangi,2025,77.6196,75.17,491.0,3.94,6.13,75650.0,59.97,453636.0,3101.0,122830.0,2.524627534,75.17,6.13,3.94,491,2.524627534,0.0499118345807746,-0.1926368254327144,-0.4813043332957115,-1.247864489078322,-0.1176818100967002,77.6196,453636.0,59.97,2,both
kabupaten,Blitar,2021,83.83,71.48,921.0,3.66,9.65,38640.6,64.02,247366.27,3964.0,79180.0,5.006314726,71.48,9.65,3.66,921,5.006314726,-0.7761582707594319,-0.198117042903254,-0.3814682179730581,-0.4931629790733163,-0.4115108589987936,83.83,247366.27,64.02,2,both
